item	total	count part-1	specif part-1	count part-2	specif part-2
	74279		20847		53432
и	2217	677	3.20	1540	-3.20
в	1684	518	2.99	1166	-2.99
на	1216	382	3.06	834	-3.06
языка	1004	502	48.91	502	-48.91
язык	970	485	47.27	485	-47.27
с	673	193	1.49	480	-1.49
не	646	202	2.17	444	-2.17
для	400	109	-1.38	291	1.38
что	396	125	1.88	271	-1.88
к	394	110	1.35	284	1.35
как	388	131	2.68	257	-2.68
В	355	114	1.95	241	-1.95
по	350	100	1.34	250	-1.34
языке	324	162	16.46	162	-16.46
или	292	90	1.53	202	-1.53
это	271	92	2.26	179	-2.26
из	257	82	1.67	175	-1.67
от	231	70	1.37	161	-1.37
языков	224	112	11.70	112	-11.70
может	223	74	1.86	149	-1.86
при	211	63	1.29	148	-1.29
о	206	61	1.27	145	-1.27
его	193	76	3.72	117	-3.72
а	192	57	1.25	135	-1.25
у	183	48	-1.24	135	1.24
за	159	39	-1.35	120	1.35
Как	159	57	2.17	102	-2.17
зубов	159	8	-13.11	151	13.11
но	156	56	2.16	100	-2.16
вы	153	48	1.33	105	-1.33
которые	150	49	1.49	101	-1.49
1	146	33	-1.59	113	1.59
Язык	144	30	-1.95	114	1.95
только	134	46	1.68	88	-1.68
так	118	37	1.24	81	-1.24
налет	118	43	1.96	75	-1.96
2	117	24	-1.81	93	1.81
полости	111	25	-1.43	86	1.43
также	110	36	1.34	74	-1.34
если	108	39	1.81	69	-1.81
А	107	34	1.24	73	-1.24
мы	105	35	1.39	70	-1.39
то	104	30	1.07	74	-1.07
речи	104	35	1.42	69	-1.42
он	103	37	1.74	66	-1.74
является	102	37	1.79	65	-1.79
чтобы	102	36	1.63	66	-1.63
можно	102	30	1.08	72	-1.08
10	101	23	-1.34	78	1.34
налета	100	40	2.52	60	-2.52
человека	100	34	1.44	66	-1.44
могут	98	30	1.13	68	-1.13
3	96	28	1.06	68	-1.06
все	95	23	-1.18	72	1.18
С	94	27	1.05	67	-1.05
до	94	19	-1.66	75	1.66
быть	93	24	-1.08	69	1.08
языки	92	46	5.36	46	-5.36
Лечение	91	5	-7.40	86	7.40
Выучить	90	2	-10.10	88	10.10
Если	87	29	1.29	58	-1.29
языком	86	43	5.06	43	-5.06
О	86	10	-3.84	76	3.84
7	84	14	-2.24	70	2.24
языку	84	42	4.96	42	-4.96
русский	83	37	3.28	46	-3.28
который	83	30	1.60	53	-1.60
Это	83	29	1.44	54	-1.44
русского	82	38	3.73	44	-3.73
Но	82	27	1.23	55	-1.23
есть	81	24	1.04	57	-1.04
Русский	80	33	2.43	47	-2.43
9	80	18	-1.25	62	1.25
рта	80	21	-1.02	59	1.02
00	79	0	-11.31	79	11.31
этом	78	25	1.15	53	-1.15
5	77	17	-1.27	60	1.27
время	76	10	-2.98	66	2.98
При	75	23	1.06	52	-1.06
нужно	75	26	1.35	49	-1.35
более	74	27	1.55	47	-1.55
8	74	11	-2.46	63	2.46
я	72	16	-1.23	56	1.23
того	71	28	1.94	43	-1.94
И	71	22	1.06	49	-1.06
На	70	21	1.01	49	-1.01
во	70	20	0.98	50	-0.98
4	68	11	-2.04	57	2.04
языковой	68	34	4.17	34	-4.17
2025	66	0	-9.45	66	9.45
после	65	15	-1.11	50	1.11
их	65	16	-1.03	49	1.03
всего	65	19	0.97	46	-0.97
имеет	65	27	2.18	38	-2.18
том	64	24	1.57	40	-1.57
д	64	6	-3.74	58	3.74
один	64	27	2.27	37	-2.27
мира	63	29	2.99	34	-2.99
слова	63	17	0.96	46	0.96
же	62	17	0.95	45	0.95
Я	62	10	-1.93	52	1.93
года	61	19	1.02	42	-1.02
заболевания	61	16	-0.96	45	0.96
человек	60	23	1.62	37	-1.62
этого	60	21	1.27	39	-1.27
6	60	15	-0.99	45	0.99
больше	60	21	1.27	39	-1.27
Все	60	7	-2.86	53	2.86
чем	59	17	0.95	42	-0.95
детей	59	7	-2.77	52	2.77
будет	59	19	1.06	40	-1.06
речь	58	15	-0.96	43	0.96
Вы	58	12	-1.25	46	1.25
между	57	23	1.83	34	-1.83
без	57	13	-1.08	44	1.08
Для	57	18	1.02	39	-1.02
развития	56	20	1.29	36	-1.29
ротовой	56	14	-0.97	42	0.97
Географический	56	28	3.58	28	-3.58
системы	56	16	0.93	40	-0.93
г	54	6	-2.77	48	2.77
со	54	16	0.94	38	-0.94
ул	54	0	-7.73	54	7.73
английского	53	21	1.66	32	-1.66
даже	53	13	-0.97	40	0.97
По	53	19	1.27	34	-1.27
т	53	14	-0.92	39	0.92
уже	53	21	1.66	32	-1.66
М	53	19	1.27	34	-1.27
СНГ	53	0	-7.59	53	7.59
01	53	0	-7.59	53	7.59
других	52	16	0.96	36	-0.96
Что	52	16	0.96	36	-0.96
географический	52	26	3.37	26	-3.37
Записаться	52	0	-7.44	52	7.44
под	51	9	-1.49	42	1.49
К	51	15	0.92	36	-0.92
например	50	16	1.00	34	-1.00
вам	50	20	1.66	30	-1.66
2023	50	13	-0.92	37	0.92
она	49	14	0.90	35	0.90
очень	49	16	1.03	33	-1.03
которых	48	18	1.36	30	-1.36
данных	48	4	-3.21	44	3.21
