token	corpus size	all contexts size	frequency	co-frequency	specificity
Географический	74279	12603	56	56	43.19
русский	74279	12603	83	68	37.57
географический	74279	12603	52	50	35.59
Русский	74279	12603	80	60	29.33
чистить	74279	12603	43	40	26.99
выучить	74279	12603	41	34	19.42
родной	74279	12603	24	24	18.50
иностранный	74279	12603	28	26	17.62
Как	74279	12603	159	73	16.79
говяжий	74279	12603	17	16	11.18
зачем	74279	12603	15	14	9.69
Родной	74279	12603	12	12	9.25
изучать	74279	12603	30	20	8.74
чтобы	74279	12603	102	42	8.30
изучающих	74279	12603	13	12	8.21
имеет	74279	12603	65	31	8.10
быстро	74279	12603	44	24	7.86
назвал	74279	12603	10	10	7.71
жив	74279	12603	10	10	7.71
здоровый	74279	12603	10	10	7.71
влажный	74279	12603	10	10	7.71
Обложенный	74279	12603	10	10	7.71
советов	74279	12603	18	14	7.63
становится	74279	12603	36	20	6.84
официальный	74279	12603	15	12	6.83
Страны	74279	12603	11	10	6.74
варки	74279	12603	11	10	6.74
выглядит	74279	12603	20	14	6.68
человека	74279	12603	100	38	6.54
Английский	74279	12603	23	15	6.51
он	74279	12603	103	38	6.17
Чистить	74279	12603	8	8	6.16
варить	74279	12603	8	8	6.16
меняет	74279	12603	8	8	6.16
Что	74279	12603	52	24	6.13
изучают	74279	12603	12	10	6.05
официальных	74279	12603	28	16	5.81
человеческий	74279	12603	11	9	5.36
должен	74279	12603	24	14	5.30
болеть	74279	12603	9	8	5.29
чистке	74279	12603	9	8	5.29
немецкий	74279	12603	22	13	5.05
Немецкий	74279	12603	14	10	5.03
морозе	74279	12603	14	10	5.03
будет	74279	12603	59	24	4.98
является	74279	12603	102	35	4.97
наиболее	74279	12603	38	18	4.96
его	74279	12603	193	56	4.93
впервые	74279	12603	12	9	4.83
процессе	74279	12603	26	14	4.77
освоить	74279	12603	10	8	4.67
Какой	74279	12603	10	8	4.67
секреты	74279	12603	10	8	4.67
Ричардса	74279	12603	10	8	4.67
выглядеть	74279	12603	10	8	4.67
ваш	74279	12603	10	8	4.67
носитель	74279	12603	6	6	4.62
знающих	74279	12603	6	6	4.62
устроен	74279	12603	6	6	4.62
полиглота	74279	12603	6	6	4.62
Зачем	74279	12603	6	6	4.62
языкознании	74279	12603	6	6	4.62
соприкосновении	74279	12603	6	6	4.62
холодным	74279	12603	6	6	4.62
металлом	74279	12603	6	6	4.62
крепко	74279	12603	6	6	4.62
ледяной	74279	12603	6	6	4.62
душа	74279	12603	6	6	4.62
продукт	74279	12603	6	6	4.62
какой	74279	12603	6	6	4.62
приготовить	74279	12603	6	6	4.62
заставляли	74279	12603	6	6	4.62
увеличилось	74279	12603	6	6	4.62
расскажет	74279	12603	6	6	4.62
средство	74279	12603	21	12	4.50
самостоятельно	74279	12603	21	12	4.50
В	74279	12603	355	88	4.34
определить	74279	12603	28	14	4.31
мы	74279	12603	105	34	4.30
любой	74279	12603	16	10	4.29
текста	74279	12603	35	16	4.25
не	74279	12603	646	145	4.22
каких	74279	12603	11	8	4.19
вам	74279	12603	50	20	4.16
котором	74279	12603	29	14	4.11
этот	74279	12603	36	16	4.08
именно	74279	12603	17	10	3.98
российских	74279	12603	7	6	3.86
источником	74279	12603	7	6	3.86
мир	74279	12603	7	6	3.86
национальный	74279	12603	7	6	3.86
проявляется	74279	12603	7	6	3.86
частично	74279	12603	7	6	3.86
рак	74279	12603	7	6	3.86
чистят	74279	12603	7	6	3.86
ред	74279	12603	7	6	3.86
наше	74279	12603	7	6	3.86
предки	74279	12603	7	6	3.86
Языки	74279	12603	27	13	3.84
относится	74279	12603	12	8	3.79
розовый	74279	12603	12	8	3.79
этап	74279	12603	12	8	3.79
которая	74279	12603	46	18	3.68
также	74279	12603	110	33	3.54
может	74279	12603	223	57	3.49
символов	74279	12603	19	10	3.47
свой	74279	12603	19	10	3.47
как	74279	12603	388	90	3.46
пространстве	74279	12603	13	8	3.46
украинский	74279	12603	13	8	3.46
один	74279	12603	64	22	3.44
глобальном	74279	12603	8	6	3.34
Таким	74279	12603	8	6	3.34
трудно	74279	12603	8	6	3.34
давно	74279	12603	8	6	3.34
Французский	74279	12603	8	6	3.34
Сам	74279	12603	8	6	3.34
обязательного	74279	12603	8	6	3.34
ней	74279	12603	8	6	3.34
знают	74279	12603	8	6	3.34
Топ	74279	12603	8	6	3.34
изучить	74279	12603	8	6	3.34
поверхностью	74279	12603	8	6	3.34
говорим	74279	12603	8	6	3.34
Почему	74279	12603	34	14	3.26
Это	74279	12603	83	26	3.25
занимает	74279	12603	20	10	3.25
России	74279	12603	42	16	3.21
средством	74279	12603	17	9	3.19
патология	74279	12603	14	8	3.17
здорового	74279	12603	14	8	3.17
нем	74279	12603	35	14	3.12
заимствованных	74279	12603	4	4	3.08
строчку	74279	12603	4	4	3.08
организациях	74279	12603	4	4	3.08
политику	74279	12603	4	4	3.08
Напротив	74279	12603	4	4	3.08
обеспечения	74279	12603	4	4	3.08
доля	74279	12603	4	4	3.08
современный	74279	12603	4	4	3.08
проживает	74279	12603	4	4	3.08
Румынский	74279	12603	4	4	3.08
лопатообразную	74279	12603	4	4	3.08
фолиевой	74279	12603	4	4	3.08
В12	74279	12603	4	4	3.08
правильном	74279	12603	4	4	3.08
положении	74279	12603	4	4	3.08
нёбу	74279	12603	4	4	3.08
души	74279	12603	4	4	3.08
бытия	74279	12603	4	4	3.08
постепенно	74279	12603	4	4	3.08
литературе	74279	12603	4	4	3.08
здоровьем	74279	12603	4	4	3.08
Народ	74279	12603	4	4	3.08
призывают	74279	12603	4	4	3.08
исчезновение	74279	12603	4	4	3.08
воспользовавшись	74279	12603	4	4	3.08
секретами	74279	12603	4	4	3.08
